x,y
-1.3028,0
-1.2632,-0.0965
-1.1505,-0.1851
-0.9804,-0.2598
-0.7734,-0.3174
-0.5495,-0.3576
-0.3255,-0.382
-0.1114,-0.393
0.0854,-0.3935
0.2617,-0.3864
0.418,-0.3735
0.5543,-0.3569
0.6728,-0.3377
0.7746,-0.3172
0.8626,-0.2956
0.9381,-0.2737
1.0029,-0.2518
1.058,-0.2302
1.1049,-0.209
1.1448,-0.1883
1.1791,-0.1677
1.2072,-0.1483
1.231,-0.1291
1.251,-0.1101
1.2661,-0.0928
1.2789,-0.0751
1.2885,-0.0582
1.2955,-0.0418
1.3,-0.026
1.3023,-0.0107
1.3025,0.004
1.3014,0.0188
1.298,0.0324
1.2936,0.0462
1.2878,0.0596
1.2803,0.0723
1.2722,0.0853
1.2624,0.0972
1.2519,0.1092
1.2403,0.1208
1.2276,0.1318
1.2141,0.1426
1.2,0.1535
1.1849,0.164
1.1691,0.1739
1.1527,0.184
1.1354,0.1934
1.1176,0.2029
1.0991,0.2119
1.0801,0.2208
1.0605,0.2295
1.0402,0.2376
1.0194,0.2454
0.9982,0.2533
0.9765,0.2611
0.9544,0.2685
0.9318,0.2758
0.9089,0.283
0.8852,0.2892
0.8614,0.2958
0.8373,0.3025
0.8127,0.3084
0.7878,0.3143
0.7625,0.32
0.7369,0.3254
0.711,0.3304
0.6849,0.3358
0.6583,0.3402
0.6316,0.3452
0.6046,0.3496
0.5774,0.3535
0.54990000000000006,0.3576
0.5223,0.3616
0.4944,0.3651
0.4663,0.3684
0.438,0.3713
0.4096,0.3745
0.381,0.3774
0.3522,0.3797
0.3234,0.3822
0.2943,0.384
0.2652,0.386
0.236,0.3881
0.2067,0.3893
0.1773,0.3907
0.1479,0.3919
0.1184,0.3927
0.0888,0.3936
0.0592,0.394
0.0296,0.3943
0,0.3943
-0.0296,0.3944
-0.0592,0.3941
-0.0888,0.3935
-0.1184,0.3928
-0.1479,0.392
-0.1773,0.3909
-0.2067,0.3893
-0.236,0.3879
-0.2652,0.3861
-0.2943,0.3842
-0.3233,0.3821
-0.3522,0.3798
-0.381,0.3773
-0.4096,0.3744
-0.438,0.3715
-0.4663,0.3683
-0.4943,0.3649
-0.5222,0.3614
-0.54990000000000006,0.3576
-0.5774,0.3536
-0.6046,0.3494
-0.6316,0.3449
-0.6583,0.3404
-0.6848,0.3356
-0.711,0.3305
-0.7369,0.3253
-0.7625,0.3198
-0.7877,0.3142
-0.8127,0.3083
-0.8372,0.3022
-0.8615,0.2959
-0.8853,0.2894
-0.9087,0.2826
-0.9318,0.2757
-0.9544,0.2685
-0.9765,0.2611
-0.9982,0.2534
-1.0194,0.2456
-1.0401,0.2375
-1.0603,0.2292
-1.08,0.2206
-1.099,0.2118
-1.1175,0.2027
-1.1354,0.1934
-1.1526,0.1839
-1.1691,0.174
-1.1849,0.1639
-1.2,0.1536
-1.2143,0.1429
-1.2277,0.132
-1.2403,0.1207
-1.2519,0.1092
-1.2625,0.0973
-1.2721,0.0851
-1.2805,0.0726
-1.2878,0.0597
-1.2937,0.0464
-1.2983,0.0327
-1.3013,0.0187
-1.3027,0.0042
